Type d'activité,Date,Favori,Titre,Distance,Calories,Durée,Fréquence cardiaque moyenne,Fréquence cardiaque maximale,TE aérobie,Cadence de vélo moyenne,Cadence de vélo maximale,Vitesse moyenne,Vitesse max,Ascension totale,Descente totale,Longueur moyenne des foulées,Rapport vertical moyen,Oscillation verticale moyenne,Temps de contact moyen avec le sol,Cadence de vélo moyenne,Cadence de vélo maximale,Normalized Power® (NP®),Equilibre G/D,Training Stress Score® (TSS®),Puissance moyenne maximale (20 min),Puissance moy.,Puissance max.,Difficulté,Constance,Nombre total de mouvements,SWOLF moyen,Fréquence moy. des coups,Total des répétitions,Temps de plongée,Température minimale,Intervalle à la surface,Décompression,Temps du meilleur circuit,Nombre de circuits,Température maximale,Fréquence respiratoire moyenne,Fréquence respiratoire minimale,Fréquence respiratoire maximale,Temps de déplacement,Temps écoulé,Altitude minimale,Altitude maximale
Vélo d'intérieur,2023-01-11 07:30:00,false,"Paris - Vélocité HT 1h00","24,00","698","01:07:12","138","166","3,6","0","0","21,4","29,5","34","35","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","19","0,0","--","--","--","00:15:00","01:14:25","38","67"
Cyclisme sur route,2023-01-09 11:26:00,false,"Marseille - Test PMA","51,71","1.337","02:11:01","137","175","4,7","0","0","23,7","64,2","928","928","0,00","0,0","0,0","0","79","137","194","53% G / 47% D","178,7","192","167","519","0,0","0,0","9515","0","0","0","0:00","12,0","0:00","Non","00:03.00","4","17,0","33","21","50","02:09:02","02:11:03","52","336"
Cyclisme sur route,2023-01-07 07:35:11,false,"Marseille Cyclisme sur route","108,84","2.416","04:04:24","139","178","5,0","0","0","26,7","67,0","1.044","1.040","0,00","0,0","0,0","0","79","130","193","53% G / 47% D","335,7","211","169","730","0,0","0,0","16916","0","0","0","0:00","10,0","0:00","Non","04:04:23.89.2","1","18,0","33","16","50","04:03:20","05:13:33","1","224"
Cyclisme sur route,2023-01-06 11:58:48,false,"Marseille - Vélocité 1h30","38,68","1.003","01:32:13","143","177","4,6","0","0","25,2","59,7","678","676","0,00","0,0","0,0","0","87","135","188","53% G / 47% D","82,2","200","172","633","0,0","0,0","7641","0","0","0","0:00","14,0","0:00","Non","01:00.00","18","19,0","34","15","48","01:30:27","01:32:33","52","330"
Vélo d'intérieur,2023-01-04 07:18:00,false,"Paris - Vélocité HT 1h00","25,00","666","00:58:57","142","169","4,4","0","0","25,4","30,7","37","69","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","18","0,0","--","--","--","00:08:48","01:12:06","5","65"
Cyclisme sur route,2023-01-02 10:56:35,false,"Marseille - Endurance sprint","79,81","2.147","03:01:05","154","176","5,0","0","0","26,4","61,6","1.289","1.291","0,00","0,0","0,0","0","83","126","199","53% G / 47% D","182,7","221","186","794","0,0","0,0","14538","0","0","0","0:00","14,0","0:00","Non","03:01:05.34.5","1","20,0","--","--","--","03:00:45","03:04:46","49","448"
Cyclisme sur route,2022-12-23 10:11:01,false,"Marseille - PMA 3x 10X45-30 HT","29,57","663","01:13:41","138","170","--","0","0","24,1","57,7","417","582","0,00","0,0","0,0","0","79","135","207","53% G / 47% D","79,9","187","180","583","0,0","0,0","5273","0","0","0","0:00","12,0","0:00","Non","00:30.00","44","17,0","--","--","--","01:13:25","01:19:58","47","321"
Cyclisme sur route,2022-12-22 12:33:37,false,"Marseille Cyclisme sur route","92,73","2.059","03:40:57","144","173","--","0","0","25,2","63,1","1.511","1.509","0,00","0,0","0,0","0","80","131","193","53% G / 47% D","209,1","231","176","675","0,0","0,0","15975","0","0","0","0:00","8,0","0:00","Non","03:40:56.51.4","1","15,0","--","--","--","03:40:41","04:28:32","-94","341"
Cyclisme sur route,2022-12-18 07:49:40,false,"Marseille Cyclisme sur route","85,32","1.911","03:16:17","150","180","--","0","0","26,1","61,3","1.341","1.357","0,00","0,0","0,0","0","79","128","204","53% G / 47% D","207,1","231","190","643","0,0","0,0","13724","0","0","0","0:00","0,0","0:00","Non","03:16:16.88.9","1","22,0","--","--","--","03:15:49","03:33:45","-11","435"
Vélo d'intérieur,2022-12-14 08:00:00,false,"PMA 3x 10X45-30 HT","26,00","575","00:51:44","151","180","4,7","0","0","30,2","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:30.00","43","0,0","--","--","--","00:00:00","00:51:44","--","--"
Cyclisme sur route,2022-12-12 11:46:21,false,"Marseille - FSM 5X5min","46,82","1.113","01:51:38","0","0","--","0","0","25,2","56,3","862","879","0,00","0,0","0,0","0","74","136","191","54% G / 46% D","102,6","210","179","579","0,0","0,0","7855","0","0","0","0:00","4,0","0:00","Non","00:04.30","18","18,0","--","--","--","01:51:33","01:51:39","81","398"
Cyclisme sur route,2022-12-10 08:02:07,false,"Marseille Cyclisme sur route","90,75","2.033","03:43:09","146","176","--","0","0","24,4","62,8","1.351","1.359","0,00","0,0","0,0","0","79","138","193","53% G / 47% D","210,8","230","181","716","0,0","0,0","15276","0","0","0","0:00","2,0","0:00","Non","03:43:09.27.8","1","13,0","--","--","--","03:42:33","04:48:33","23","745"
Vélo d'intérieur,2022-12-07 07:21:14,false,"Paris Vélo d'intérieur","25,75","644","00:59:50","143","183","4,4","0","0","25,8","28,7","47","29","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","59:50.05","1","0,0","--","--","--","00:08:32","01:06:17","28","67"
Cyclisme sur route,2022-12-05 11:38:24,false,"Marseille - FSM 5X5min","54,02","1.415","02:19:31","145","169","--","0","0","23,2","61,2","1.147","1.150","0,00","0,0","0,0","0","75","120","199","52% G / 48% D","140,3","230","189","470","0,0","0,0","9554","0","0","0","0:00","8,0","0:00","Non","00:01.54.9","20","19,0","--","--","--","02:16:20","02:19:54","28","369"
Vélo d'intérieur,2022-11-30 07:55:51,false,"Exercice de PMA pyramide V2 1h10","0,00","667","00:55:01","156","189","5,0","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:30.00","31","0,0","--","--","--","00:00:00","00:55:01","--","--"
Cyclisme sur route,2022-11-27 07:54:00,false,"Marseille Cyclisme sur route","79,69","2.011","03:01:22","156","174","--","0","0","26,4","62,3","1.340","1.342","0,00","0,0","0,0","0","82","127","208","53% G / 47% D","198,3","228","194","776","0,0","0,0","14378","0","0","0","0:00","4,0","0:00","Non","03:01:21.59.2","1","14,0","--","--","--","03:01:20","03:04:38","8","435"
Vélo d'intérieur,2022-11-23 07:42:38,false,"PMA 3 - 4X8 HT","0,00","544","00:56:40","138","171","3,7","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","28","0,0","--","--","--","00:00:00","00:56:40","--","--"
Cyclisme sur route,2022-11-21 11:13:44,false,"Marseille - FSM 5X5min","46,54","1.122","01:52:42","148","172","--","0","0","24,8","58,0","887","883","0,00","0,0","0,0","0","77","129","193","53% G / 47% D","105,9","205","179","470","0,0","0,0","8212","0","0","0","0:00","10,0","0:00","Non","00:05.72.4","18","18,0","--","--","--","01:52:23","01:52:44","132","450"
Cyclisme sur route,2022-11-20 12:10:46,false,"Marseille Cyclisme sur route","63,78","1.585","02:33:49","157","179","--","0","0","24,9","65,1","1.118","1.124","0,00","0,0","0,0","0","84","122","209","54% G / 46% D","170,0","233","189","825","0,0","0,0","12012","0","0","0","0:00","5,0","0:00","Non","02:33:49.35.2","1","12,0","--","--","--","02:33:42","02:34:36","-118","247"
Vélo d'intérieur,2022-11-16 08:01:54,false,"Exercice de PMA pyramide V2 1h10","0,00","602","00:54:28","150","179","4,6","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:30.00","31","0,0","--","--","--","00:00:00","00:54:28","--","--"
Cyclisme sur route,2022-11-14 11:02:04,false,"Marseille - FSM 5X5min","35,56","816","01:27:59","143","166","--","0","0","24,2","61,7","623","652","0,00","0,0","0,0","0","72","128","191","52% G / 48% D","81,2","189","174","634","0,0","0,0","5867","0","0","0","0:00","14,0","0:00","Non","00:00.00","17","18,0","--","--","--","01:02:55","01:31:37","65","343"
Cyclisme sur route,2022-11-13 07:22:56,false,"Marseille Cyclisme sur route","107,76","2.352","04:14:51","151","178","--","0","0","25,4","68,0","1.679","1.670","0,00","0,0","0,0","0","81","129","186","53% G / 47% D","223,8","227","181","725","0,0","0,0","17992","0","0","0","0:00","8,0","0:00","Non","04:14:50.78","1","20,0","--","--","--","04:14:36","04:32:17","32","725"
Vélo d'intérieur,2022-11-09 07:43:00,false,"PMA 7X45 HT","25,00","646","00:57:40","150","183","4,8","0","0","26,0","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:45.00","46","0,0","--","--","--","00:00:00","00:57:40","--","--"
Cyclisme sur route,2022-11-07 11:17:02,false,"Marseille - FSM 6X4min","41,20","968","01:38:58","144","170","--","0","0","25,0","57,4","722","755","0,00","0,0","0,0","0","75","145","199","52% G / 48% D","99,7","190","186","643","0,0","0,0","6729","0","0","0","0:00","15,0","0:00","Non","01:00.00","21","22,0","--","--","--","01:34:27","01:41:52","63","344"
Cyclisme sur route,2022-11-05 14:42:20,false,"Marseille Cyclisme sur route","27,48","972","01:45:13","0","0","--","0","0","15,7","36,9","564","566","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","17,0","0:00","Non","01:45:13.21.5","1","20,0","--","--","--","01:44:53","01:50:07","29","305"
Cyclisme sur route,2022-11-02 11:32:06,false,"Marseille - PMA 8X30 HT","29,55","703","01:07:47","152","176","--","0","0","26,2","61,3","342","566","0,00","0,0","0,0","0","79","120","220","53% G / 47% D","82,7","210","199","617","0,0","0,0","4931","0","0","0","0:00","17,0","0:00","Non","00:30.00","53","22,0","--","--","--","01:07:45","01:08:38","60","340"
Cyclisme sur route,2022-10-31 07:59:48,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","90,72","2.034","03:38:59","152","180","--","0","0","24,9","63,3","1.560","1.544","0,00","0,0","0,0","0","77","114","181","52% G / 48% D","181,3","208","170","462","0,0","0,0","15659","0","0","0","0:00","10,0","0:00","Non","15:04.35.4","2","18,0","--","--","--","03:38:46","03:42:16","527","1.155"
Cyclisme sur route,2022-10-30 08:54:10,false,"Saint-Ferréol-d'Auroure Cyclisme sur route","55,25","1.291","02:06:55","156","183","--","0","0","26,1","61,2","940","953","0,00","0,0","0,0","0","75","120","200","53% G / 47% D","128,5","204","187","642","0,0","0,0","8817","0","0","0","0:00","10,0","0:00","Non","02:06:55.08.9","1","21,0","--","--","--","02:06:47","02:09:48","427","841"
Cyclisme sur route,2022-10-17 11:02:13,false,"Marseille Cyclisme sur route","51,28","1.192","02:02:04","145","173","--","0","0","25,2","63,2","919","916","0,00","0,0","0,0","0","78","113","202","53% G / 47% D","126,3","222","179","565","0,0","0,0","8867","0","0","0","0:00","20,0","0:00","Non","02:02:04.42.4","1","27,0","--","--","--","02:01:54","02:04:10","68","371"
Cyclisme sur route,2022-10-15 07:43:49,false,"Marseille Cyclisme sur route","107,88","1.956","03:54:38","144","179","--","0","0","27,6","65,1","930","894","0,00","0,0","0,0","0","79","137","190","54% G / 46% D","215,6","220","172","785","0,0","0,0","15570","0","0","0","0:00","13,0","0:00","Non","03:54:37.84.8","1","29,0","--","--","--","03:53:28","05:18:46","-8","206"
Vélo d'intérieur,2022-10-12 07:00:00,false,"PMA 5X30 HT","0,00","489","00:49:50","141","180","4,2","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:02.41.7","45","0,0","--","--","--","00:00:00","00:49:50","--","--"
Cyclisme sur route,2022-10-10 08:18:27,false,"Marseille Cyclisme sur route","49,31","1.164","01:51:29","144","182","--","0","0","26,5","60,2","820","830","0,00","0,0","0,0","0","84","128","202","54% G / 46% D","115,4","219","184","742","0,0","0,0","8982","0","0","0","0:00","14,0","0:00","Non","01:51:29.04.9","1","18,0","--","--","--","01:51:29","01:51:29","40","342"
Cyclisme sur route,2022-09-25 08:31:55,false,"Marseille Cyclisme sur route","95,93","1.942","03:44:04","148","188","--","0","0","25,7","68,2","1.470","1.538","0,00","0,0","0,0","0","77","131","191","54% G / 46% D","208,2","238","171","653","0,0","0,0","15108","0","0","0","0:00","13,0","0:00","Non","03:44:03.70","1","23,0","--","--","--","03:43:55","03:49:15","15","549"
Cyclisme sur route,2022-09-23 07:51:06,false,"Marseille Cyclisme sur route","40,78","981","01:30:42","0","0","--","0","0","27,0","56,8","713","720","0,00","0,0","0,0","0","82","118","203","54% G / 46% D","94,8","211","192","626","0,0","0,0","7129","0","0","0","0:00","12,0","0:00","Non","01:30:41.67.4","1","18,0","--","--","--","01:30:41","01:30:42","61","336"
Cyclisme sur route,2022-09-19 07:59:23,false,"Marseille Cyclisme sur route","41,41","976","01:33:37","0","0","--","0","0","26,5","60,4","721","727","0,00","0,0","0,0","0","72","119","212","53% G / 47% D","106,5","224","200","584","0,0","0,0","6025","0","0","0","0:00","11,0","0:00","Non","01:33:37.04.9","1","18,0","--","--","--","01:33:37","01:33:37","26","308"
Cyclisme sur route,2022-09-17 10:10:51,false,"Bédoin Cyclisme sur route","54,28","1.456","02:39:34","136","171","--","0","0","20,4","54,5","1.470","1.504","0,00","0,0","0,0","0","70","129","193","51% G / 49% D","150,8","238","189","599","0,0","0,0","9243","0","0","0","0:00","7,0","0:00","Non","02:39:33.90","1","19,0","--","--","--","02:39:16","02:49:45","271","1.369"
Vélo d'intérieur,2022-09-14 07:10:18,false,"Seuil prog 3x7-1","0,00","503","00:45:02","146","180","4,3","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","01:00.00","10","0,0","--","--","--","00:00:00","00:45:28","--","--"
Cyclisme sur route,2022-09-12 09:05:44,false,"Marseille Cyclisme sur route","57,62","1.305","02:17:34","137","172","--","0","0","25,1","59,9","1.089","1.098","0,00","0,0","0,0","0","74","112","201","51% G / 49% D","141,1","224","181","434","0,0","0,0","9215","0","0","0","0:00","20,0","0:00","Non","05:55.42.4","7","27,0","--","--","--","02:17:27","02:17:44","60","332"
Cyclisme sur route,2022-09-11 07:24:27,false,"Marseille Cyclisme sur route","135,67","2.747","04:53:05","145","190","--","0","0","27,8","61,7","1.704","1.709","0,00","0,0","0,0","0","78","124","193","52% G / 48% D","276,9","246","179","683","0,0","0,0","20456","0","0","0","0:00","14,0","0:00","Non","04:53:04.80.6","1","31,0","--","--","--","04:53:05","05:29:56","12","721"
Cyclisme sur route,2022-09-09 07:37:51,false,"Marseille - Seuil prog 3x7-1","38,25","886","01:26:11","149","177","--","0","0","26,6","61,0","688","730","0,00","0,0","0,0","0","77","110","220","52% G / 48% D","105,9","221","192","461","0,0","0,0","6105","0","0","0","0:00","14,0","0:00","Non","01:00.00","12","21,0","--","--","--","01:26:08","01:26:12","67","338"
Vélo d'intérieur,2022-09-07 07:47:40,false,"Seuil prog 3x7-1","0,00","581","00:47:54","156","193","5,0","0","0","--","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:03.68.7","11","0,0","--","--","--","00:00:00","00:47:54","--","--"
Vélo d'intérieur,2022-09-07 07:36:41,false,"Paris Vélo d'intérieur","0,31","42","00:04:25,2","130","173","1,6","0","0","4,2","21,5","--","4","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","04:25.17.5","1","0,0","--","--","--","00:01:11","00:04:25,2","57","64"
Vélo d'intérieur,2022-08-31 07:35:00,false,"Seuil prog 3x6-1","30,00","510","00:49:23","145","178","4,2","0","0","36,5","--","--","--","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","00:21.76.7","11","0,0","--","--","--","00:00:00","00:55:22","--","--"
Cyclisme sur route,2022-08-29 10:49:20,false,"Marseille - Seuil prog 3x6-1","47,36","1.083","01:44:32","143","177","--","0","0","27,2","63,0","795","860","0,00","0,0","0,0","0","79","117","215","52% G / 48% D","122,3","216","191","509","0,0","0,0","7706","0","0","0","0:00","27,0","0:00","Non","01:00.00","12","32,0","--","--","--","01:44:23","01:48:53","56","324"
Cyclisme sur route,2022-08-27 06:50:11,false,"Marseille Cyclisme sur route","141,24","2.743","05:12:06","141","187","--","0","0","27,2","63,9","1.850","1.841","0,00","0,0","0,0","0","77","122","191","53% G / 47% D","288,6","222","172","688","0,0","0,0","20974","0","0","0","0:00","16,0","0:00","Non","05:12:06.00.7","1","32,0","--","--","--","05:11:50","05:37:01","26","439"
Vélo d'intérieur,2022-08-25 07:48:00,false,"Paris Vélo d'intérieur","20,00","498","00:45:14","146","183","3,9","0","0","26,5","10,7","719","667","0,00","0,0","0,0","0","0","0","--","--","0,0","--","0","0","0,0","0,0","--","0","0","0","0:00","0,0","0:00","Non","45:14.25.2","1","0,0","--","--","--","00:06:54","00:45:14","-16","137"
Cyclisme sur route,2022-08-23 13:15:50,false,"Marseille - FSM 6X4min","74,32","1.745","03:01:29","0","0","--","0","0","24,6","58,5","1.402","1.355","0,00","0,0","0,0","0","75","131","189","52% G / 48% D","164,5","209","175","487","0,0","0,0","12793","0","0","0","0:00","23,0","0:00","Non","00:02.65","21","35,0","--","--","--","03:01:18","03:04:57","25","364"
Cyclisme sur route,2022-08-22 08:41:58,false,"Marseille - PMA 2 - 5X1,30","40,48","912","01:32:45","141","175","--","0","0","26,2","62,7","600","677","0,00","0,0","0,0","0","79","124","216","52% G / 48% D","109,9","197","184","554","0,0","0,0","6859","0","0","0","0:00","20,0","0:00","Non","00:00.00","23","24,0","--","--","--","00:55:57","01:32:55","39","313"
Cyclisme sur route,2022-08-20 13:33:45,false,"Marseille Cyclisme sur route","84,90","1.942","03:15:24","145","187","--","0","0","26,1","68,4","1.399","1.390","0,00","0,0","0,0","0","80","125","193","52% G / 48% D","184,6","218","180","689","0,0","0,0","14685","0","0","0","0:00","29,0","0:00","Non","01:15:36.39.9","2","35,0","--","--","--","03:15:09","03:28:09","31","428"
Cyclisme sur route,2022-08-19 08:39:48,false,"Marseille - PMA 3 - 4X8 HT","32,14","726","01:16:28","140","172","--","0","0","25,2","63,7","547","610","0,00","0,0","0,0","0","78","109","217","53% G / 47% D","90,9","200","185","524","0,0","0,0","5361","0","0","0","0:00","20,0","0:00","Non","00:00.00","28","24,0","--","--","--","00:55:42","01:17:21","50","322"
Cyclisme sur route,2022-08-18 13:32:42,false,"Marseille - FSM 6X4min","65,39","1.498","02:39:37","0","0","--","0","0","24,6","62,5","1.187","1.213","0,00","0,0","0,0","0","77","160","191","52% G / 48% D","148,3","204","178","499","0,0","0,0","11222","0","0","0","0:00","20,0","0:00","Non","00:13.35.9","21","35,0","--","--","--","02:36:25","02:43:05","52","355"
Cyclisme sur route,2022-08-16 08:37:58,false,"Marseille - PMA 3 - 4X8 HT","37,89","858","01:26:50","148","185","--","0","0","26,2","64,2","620","678","0,00","0,0","0,0","0","81","117","215","53% G / 47% D","101,8","194","184","536","0,0","0,0","6508","0","0","0","0:00","24,0","0:00","Non","00:00.00","28","28,0","--","--","--","00:54:47","01:27:49","58","323"
Cyclisme sur route,2022-08-15 19:15:46,false,"Marseille Cyclisme sur route","49,28","1.146","01:49:10","152","173","--","0","0","27,1","70,4","791","789","0,00","0,0","0,0","0","84","124","202","54% G / 46% D","112,9","217","192","603","0,0","0,0","8579","0","0","0","0:00","26,0","0:00","Non","01:49:09.90.4","1","32,0","--","--","--","01:49:07","01:51:24","42","337"
Cyclisme sur route,2022-08-10 07:02:37,false,"Marseille - fsm1h30 6x3","35,95","819","01:25:01","137","166","--","0","0","25,4","56,4","610","568","0,00","0,0","0,0","0","76","139","193","52% G / 48% D","79,9","188","172","394","0,0","0,0","6191","0","0","0","0:00","15,0","0:00","Non","01:00.00","21","25,0","--","--","--","01:24:59","01:27:25","32","298"
Cyclisme sur route,2022-08-08 08:15:10,false,"Marseille - PMA 3x6X45","28,98","653","01:07:33","143","170","--","0","0","25,7","56,5","426","542","0,00","0,0","0,0","0","76","113","218","51% G / 49% D","80,9","189","189","515","0,0","0,0","4667","0","0","0","0:00","21,0","0:00","Non","00:45.00","41","26,0","--","--","--","01:07:26","01:09:23","55","266"
Cyclisme sur route,2022-08-07 11:36:03,false,"Marseille Cyclisme sur route","106,31","2.464","04:02:15","146","173","--","0","0","26,3","67,9","1.819","1.814","0,00","0,0","0,0","0","82","127","203","52% G / 48% D","253,9","227","191","710","0,0","0,0","18027","0","0","0","0:00","18,0","0:00","Non","04:02:14.82.6","1","33,0","--","--","--","04:02:11","04:27:37","7","406"
Cyclisme sur route,2022-08-05 06:39:40,false,"Marseille - Test PMA","35,23","812","01:21:16","147","179","--","0","0","26,0","58,8","581","606","0,00","0,0","0,0","0","77","120","213","52% G / 48% D","93,6","206","187","503","0,0","0,0","5738","0","0","0","0:00","15,0","0:00","Non","00:00.00","3","23,0","--","--","--","00:32:56","01:22:23","85","355"
Cyclisme sur route,2022-08-02 07:01:02,false,"Marseille - PMA 4x5X3030","35,27","780","01:19:44","141","172","--","0","0","26,5","58,8","384","628","0,00","0,0","0,0","0","80","114","208","51% G / 49% D","87,4","197","187","560","0,0","0,0","5877","0","0","0","0:00","14,0","0:00","Non","00:30.00","45","24,0","--","--","--","01:19:40","01:25:17","15","284"
Cyclisme sur route,2022-07-31 06:45:19,false,"Marseille Cyclisme sur route","124,83","2.591","04:53:05","140","177","--","0","0","25,6","60,8","1.833","1.841","0,00","0,0","0,0","0","80","124","190","52% G / 48% D","270,1","237","176","642","0,0","0,0","20261","0","0","0","0:00","18,0","0:00","Non","04:53:05.07.4","1","35,0","--","--","--","04:52:27","05:41:46","23","695"
